code tray col row diam height  codex a.m10 a.b10 a.m20 a.b20 a.m30 a.b30 a.m40 a.b40 a.m50 a.b50 a.m60 a.b60 a.m60p a.b60p codey l.m10 l.b10 l.m20 l.b20 l.m30 l.b30 l.m40 l.b40 l.m50 l.b50 l.m60 l.b60 l.m60p l.b60p m.m10 m.b10 m.m20 m.b20 m.m30 m.b30 m.m40 m.b40 m.m50 m.b50 m.m60 m.b60 m.m60p m.b60p
40 7 D 10 470 37  40  8263    0  9849    0  6564 0  5049 0     0 0     0 0    0 0   40 5  0 3 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
41 7 1  3 373 46  41  1972    0 16836    0  9952 0 15096 0  6022 0     0 0    0 0   41 1  0 3 0 2 0 3 0 2 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
42 7 I  4 458 53  42     0    0 10546    0 14712 0  9528 0 13644 0  1403 0    0 0   42 0  0 2 0 3 0 2 0 4 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
43 7 I  5 403 50  43     0    0 15712    0 13148 0  8708 0 12019 0     0 0    0 0   43 0  0 3 0 3 0 2 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
44 7 I  6 415 55  44  2467    0  5827    0 13337 0  8589 0 12365 0  4781 0    0 0   44 1  0 1 0 3 0 2 0 3 0 3 0 0 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 
45 7 I  7 500 62  45  4908    0  6263 3233 14752 0  7699 0  6841 0  4560 0  154 0   45 1  0 1 4 3 0 2 0 2 0 4 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
46 7 I  8 522 50  46  8960    0 10724    0 12947 0  7527 0  9160 0     0 0    0 0   46 3  0 2 0 3 0 2 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
47 7 I  9 419 31  47  8914    0  9494    0 14618 0  4515 0     0 0     0 0    0 0   47 5  0 2 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
48 7 I 10 421 34  48 15614 6520  9178    0 13286 0  2069 0     0 0     0 0    0 0   48 6 12 2 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
49 8 E  3 483 48  49  3815    0 11189    0 13141 0  7982 0  8815 0     0 0    0 0   49 1  0 2 0 3 0 2 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
50 8 E  4 308 32  50   162    0  8618    0  9145 0  3754 0     0 0     0 0    0 0   50 1  0 2 0 3 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
